condition,question_id,iteration,is_correct,compile_error,execution_error,concept_sql,compiled_sql,gold_sql,latency_ms,prompt_chars
FULL,CR47,0,False,,"Generated SQL error: Execution failed on sql 'SELECT
     SUM(CASE WHEN loan.status IN ('B', 'D') THEN SUM(loan.amount) ELSE 0 END) AS defaulted_portfolio_value,
     SUM(loan.amount) AS total_portfolio_value,
     (SUM(CASE WHEN loan.status IN ('B', 'D') THEN SUM(loan.amount) ELSE 0 END) / SUM(loan.amount)) * 100 AS proportion_defaulted
   FROM loan': misuse of aggregate function SUM()","SELECT
     SUM(CASE WHEN loan.status IN ('B', 'D') THEN loan.total_amount ELSE 0 END) AS defaulted_portfolio_value,
     SUM(loan.total_amount) AS total_portfolio_value,
     (SUM(CASE WHEN loan.status IN ('B', 'D') THEN loan.total_amount ELSE 0 END) / SUM(loan.total_amount)) * 100 AS proportion_defaulted
   FROM loan","SELECT
     SUM(CASE WHEN loan.status IN ('B', 'D') THEN SUM(loan.amount) ELSE 0 END) AS defaulted_portfolio_value,
     SUM(loan.amount) AS total_portfolio_value,
     (SUM(CASE WHEN loan.status IN ('B', 'D') THEN SUM(loan.amount) ELSE 0 END) / SUM(loan.amount)) * 100 AS proportion_defaulted
   FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN amount ELSE 0 END) AS REAL) / SUM(amount) * 100 AS default_portfolio_pct FROM loan",3063,14109
FULL,CR47,1,False,,,"SELECT
     CAST(loan.default_count AS REAL) / SUM(loan.total_amount) * 100
   FROM loan
WHERE loan.status IN ('B', 'D')","SELECT
     CAST(COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) AS REAL) / SUM(loan.amount) * 100
   FROM loan
WHERE loan.status IN ('B', 'D')","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN amount ELSE 0 END) AS REAL) / SUM(amount) * 100 AS default_portfolio_pct FROM loan",1147,14109
FULL,CR47,2,False,,"Generated SQL error: Execution failed on sql 'SELECT
     CAST(loan.default_amount AS REAL) / SUM(loan.amount) * 100 AS default_portfolio_proportion
   FROM loan
   WHERE loan.status IN ('B', 'D')': no such column: loan.default_amount","SELECT
     CAST(loan.default_amount AS REAL) / SUM(loan.total_amount) * 100 AS default_portfolio_proportion
   FROM loan
   WHERE loan.status IN ('B', 'D')","SELECT
     CAST(loan.default_amount AS REAL) / SUM(loan.amount) * 100 AS default_portfolio_proportion
   FROM loan
   WHERE loan.status IN ('B', 'D')","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN amount ELSE 0 END) AS REAL) / SUM(amount) * 100 AS default_portfolio_pct FROM loan",1277,14109
FULL,CR47,3,False,,,"SELECT
     loan.default_count * 1.0 / SUM(loan.total_amount) * 100 AS defaulted_portfolio_proportion
   FROM loan
   WHERE loan.status IN ('B', 'D')","SELECT
     COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) * 1.0 / SUM(loan.amount) * 100 AS defaulted_portfolio_proportion
   FROM loan
   WHERE loan.status IN ('B', 'D')","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN amount ELSE 0 END) AS REAL) / SUM(amount) * 100 AS default_portfolio_pct FROM loan",1558,14109
FULL,CR47,4,False,,"Generated SQL error: Execution failed on sql 'SELECT
     SUM(CASE WHEN loan.status IN ('B', 'D') THEN SUM(loan.amount) ELSE 0 END) AS defaulted_portfolio_value,
     SUM(loan.amount) AS total_portfolio_value,
     (SUM(CASE WHEN loan.status IN ('B', 'D') THEN SUM(loan.amount) ELSE 0 END) * 100.0) / SUM(loan.amount) AS defaulted_portfolio_proportion
   FROM loan': misuse of aggregate function SUM()","SELECT
     SUM(CASE WHEN loan.status IN ('B', 'D') THEN loan.total_amount ELSE 0 END) AS defaulted_portfolio_value,
     SUM(loan.total_amount) AS total_portfolio_value,
     (SUM(CASE WHEN loan.status IN ('B', 'D') THEN loan.total_amount ELSE 0 END) * 100.0) / SUM(loan.total_amount) AS defaulted_portfolio_proportion
   FROM loan","SELECT
     SUM(CASE WHEN loan.status IN ('B', 'D') THEN SUM(loan.amount) ELSE 0 END) AS defaulted_portfolio_value,
     SUM(loan.amount) AS total_portfolio_value,
     (SUM(CASE WHEN loan.status IN ('B', 'D') THEN SUM(loan.amount) ELSE 0 END) * 100.0) / SUM(loan.amount) AS defaulted_portfolio_proportion
   FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN amount ELSE 0 END) AS REAL) / SUM(amount) * 100 AS default_portfolio_pct FROM loan",2191,14109
FULL,CR45,0,True,,,"SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.duration = 60","SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.duration = 60",SELECT COUNT(loan_id) FROM loan WHERE duration = 60,1343,14057
FULL,CR45,1,True,,,"SELECT COUNT(DISTINCT loan.account_id)
   FROM loan
   WHERE loan.duration = 60","SELECT COUNT(DISTINCT loan.account_id)
   FROM loan
   WHERE loan.duration = 60",SELECT COUNT(loan_id) FROM loan WHERE duration = 60,1004,14057
FULL,CR45,2,True,,,"SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.duration = 60","SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.duration = 60",SELECT COUNT(loan_id) FROM loan WHERE duration = 60,947,14057
FULL,CR45,3,True,,,"SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.duration = 60","SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.duration = 60",SELECT COUNT(loan_id) FROM loan WHERE duration = 60,1007,14057
FULL,CR45,4,True,,,"SELECT COUNT(loan.loan_id) 
FROM loan 
WHERE loan.duration = 60","SELECT COUNT(loan.loan_id) 
FROM loan 
WHERE loan.duration = 60",SELECT COUNT(loan_id) FROM loan WHERE duration = 60,951,14057
FULL,CR24,0,False,,"Generated SQL error: Execution failed on sql 'SELECT AVG(CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12': misuse of aggregate function COUNT()","SELECT AVG(loan.default_rate)
   FROM loan
   JOIN account ON loan.account_link
   JOIN district ON account.district_link
   WHERE district.unemployment_rate_1996 > district.unemployment_rate_1995","SELECT AVG(CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12","SELECT AVG(default_rate) FROM (SELECT district.district_id, CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12 GROUP BY district.district_id)",1243,14112
FULL,CR24,1,False,,"Generated SQL error: Execution failed on sql 'SELECT AVG(CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12': misuse of aggregate function COUNT()","SELECT AVG(loan.default_rate)
   FROM loan
   JOIN account ON loan.account_link
   JOIN district ON account.district_link
   WHERE district.unemployment_rate_1996 > district.unemployment_rate_1995","SELECT AVG(CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12","SELECT AVG(default_rate) FROM (SELECT district.district_id, CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12 GROUP BY district.district_id)",2200,14112
FULL,CR24,2,False,,"Generated SQL error: Execution failed on sql 'SELECT AVG(CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12': misuse of aggregate function COUNT()","SELECT AVG(loan.default_rate)
   FROM loan
   JOIN account ON loan.account_link
   JOIN district ON account.district_link
   WHERE district.unemployment_rate_1996 > district.unemployment_rate_1995","SELECT AVG(CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12","SELECT AVG(default_rate) FROM (SELECT district.district_id, CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12 GROUP BY district.district_id)",4587,14112
FULL,CR24,3,False,,"Generated SQL error: Execution failed on sql 'SELECT AVG(CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12': misuse of aggregate function COUNT()","SELECT AVG(loan.default_rate)
   FROM loan
   JOIN account ON loan.account_link
   JOIN district ON account.district_link
   WHERE district.unemployment_rate_1996 > district.unemployment_rate_1995","SELECT AVG(CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12","SELECT AVG(default_rate) FROM (SELECT district.district_id, CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12 GROUP BY district.district_id)",7326,14112
FULL,CR24,4,False,,"Generated SQL error: Execution failed on sql 'SELECT AVG(CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12': misuse of aggregate function COUNT()","SELECT AVG(loan.default_rate)
   FROM loan
   JOIN account ON loan.account_link
   JOIN district ON account.district_link
   WHERE district.unemployment_rate_1996 > district.unemployment_rate_1995","SELECT AVG(CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12","SELECT AVG(default_rate) FROM (SELECT district.district_id, CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE district.A13 > district.A12 GROUP BY district.district_id)",5611,14112
FULL,CR13,0,False,"Invalid SQL: the join hint 'district.district_link' does not correspond to any defined relationship between the cubes involved. Check that you're joining cubes that actually have a relationship defined (see 'Can be joined to' for each cube in the schema above), and that the join hint is written as JOIN <target_cube> ON <cube_already_in_your_query>.<target_cube>_link -- the cube name immediately before '_link' must be the cube you are newly joining TO (matching the name right after JOIN), not the cube already in scope.",,"SELECT district.district_id, district.district_name, (loan.default_count * 1.0 / loan.count) * 100 AS default_rate
   FROM district
   JOIN loan ON district.district_link
   GROUP BY district.district_id, district.district_name
   HAVING (loan.default_count * 1.0 / loan.count) > 10",,"SELECT district.A2 AS district_name, CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id GROUP BY district.A2 HAVING default_rate > 10 ORDER BY default_rate DESC",7203,14081
FULL,CR13,1,False,,"Generated SQL error: Execution failed on sql 'SELECT district.A2
   FROM district
   JOIN loan ON loan.account_id = account.account_id GROUP BY district.district_id
   HAVING CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 10': no such column: account.account_id","SELECT district.district_name
   FROM district
   JOIN loan ON loan.account_link
   GROUP BY district.district_id
   HAVING loan.default_rate > 10","SELECT district.A2
   FROM district
   JOIN loan ON loan.account_id = account.account_id GROUP BY district.district_id
   HAVING CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 10","SELECT district.A2 AS district_name, CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id GROUP BY district.A2 HAVING default_rate > 10 ORDER BY default_rate DESC",1339,14081
FULL,CR13,2,False,"Invalid SQL: the join hint 'district.district_link' does not correspond to any defined relationship between the cubes involved. Check that you're joining cubes that actually have a relationship defined (see 'Can be joined to' for each cube in the schema above), and that the join hint is written as JOIN <target_cube> ON <cube_already_in_your_query>.<target_cube>_link -- the cube name immediately before '_link' must be the cube you are newly joining TO (matching the name right after JOIN), not the cube already in scope.",,"SELECT district.district_id, district.district_name, district.region, loan.default_rate
   FROM district
   JOIN account ON district.district_link
   JOIN loan ON loan.account_link
   GROUP BY district.district_id, district.district_name, district.region
   HAVING loan.default_rate > 10",,"SELECT district.A2 AS district_name, CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id GROUP BY district.A2 HAVING default_rate > 10 ORDER BY default_rate DESC",1799,14081
FULL,CR13,3,False,"Invalid SQL: the join hint 'district.district_link' does not correspond to any defined relationship between the cubes involved. Check that you're joining cubes that actually have a relationship defined (see 'Can be joined to' for each cube in the schema above), and that the join hint is written as JOIN <target_cube> ON <cube_already_in_your_query>.<target_cube>_link -- the cube name immediately before '_link' must be the cube you are newly joining TO (matching the name right after JOIN), not the cube already in scope.",,"SELECT district.district_id, district.district_name, 
       loan.default_rate
   FROM district
   JOIN loan ON district.district_link
   GROUP BY district.district_id, district.district_name
   HAVING loan.default_rate > 10",,"SELECT district.A2 AS district_name, CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id GROUP BY district.A2 HAVING default_rate > 10 ORDER BY default_rate DESC",1758,14081
FULL,CR13,4,False,,"Generated SQL error: Execution failed on sql 'SELECT district.A2
   FROM district
   JOIN loan ON loan.account_id = account.account_id GROUP BY district.district_id
   HAVING CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 10': no such column: account.account_id","SELECT district.district_name
   FROM district
   JOIN loan ON district.district_id = loan.account_link
   GROUP BY district.district_id
   HAVING loan.default_rate > 10","SELECT district.A2
   FROM district
   JOIN loan ON loan.account_id = account.account_id GROUP BY district.district_id
   HAVING CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 10","SELECT district.A2 AS district_name, CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id GROUP BY district.A2 HAVING default_rate > 10 ORDER BY default_rate DESC",1405,14081
FULL,CR07,0,True,,,"SELECT district.region, COUNT(DISTINCT loan.account_id)
   FROM loan
   JOIN account ON loan.account_link
   JOIN district ON account.district_link
   WHERE loan.status = 'D'
   GROUP BY district.region
   ORDER BY COUNT(DISTINCT loan.account_id) DESC
   LIMIT 1","SELECT district.A3, COUNT(DISTINCT loan.account_id)
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D'
   GROUP BY district.A3
   ORDER BY COUNT(DISTINCT loan.account_id) DESC
   LIMIT 1","SELECT district.A3 AS region, COUNT(loan.loan_id) AS default_count FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D' GROUP BY district.A3 ORDER BY default_count DESC LIMIT 1",2281,14038
FULL,CR07,1,True,,,"SELECT district.region, COUNT(DISTINCT account.account_id) AS defaulted_loan_accounts
   FROM account
   JOIN loan ON loan.account_link
   JOIN district ON account.district_link
   WHERE loan.status = 'D'
   GROUP BY district.region
   ORDER BY defaulted_loan_accounts DESC
   LIMIT 1","SELECT district.A3, COUNT(DISTINCT account.account_id) AS defaulted_loan_accounts
   FROM account
   JOIN loan ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D'
   GROUP BY district.A3
   ORDER BY defaulted_loan_accounts DESC
   LIMIT 1","SELECT district.A3 AS region, COUNT(loan.loan_id) AS default_count FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D' GROUP BY district.A3 ORDER BY default_count DESC LIMIT 1",1900,14038
FULL,CR07,2,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT district.region, COUNT(DISTINCT loan.account_id) AS defaulted_loans
   FROM loan
   JOIN account ON loan.account_link
   JOIN district ON account.district_link
   WHERE loan.default_count > 0
   GROUP BY district.region
   ORDER BY defaulted_loans DESC
   LIMIT 1",,"SELECT district.A3 AS region, COUNT(loan.loan_id) AS default_count FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D' GROUP BY district.A3 ORDER BY default_count DESC LIMIT 1",1581,14038
FULL,CR07,3,True,,,"SELECT district.region, COUNT(DISTINCT loan.account_id) AS defaulted_loans
   FROM loan
   JOIN account ON loan.account_link
   JOIN district ON account.district_link
   WHERE loan.status = 'D'
   GROUP BY district.region
   ORDER BY defaulted_loans DESC
   LIMIT 1","SELECT district.A3, COUNT(DISTINCT loan.account_id) AS defaulted_loans
   FROM loan
   JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D'
   GROUP BY district.A3
   ORDER BY defaulted_loans DESC
   LIMIT 1","SELECT district.A3 AS region, COUNT(loan.loan_id) AS default_count FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D' GROUP BY district.A3 ORDER BY default_count DESC LIMIT 1",1989,14038
FULL,CR07,4,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT district.region, COUNT(DISTINCT loan.account_id) AS defaulted_loan_accounts
   FROM loan
   JOIN account ON loan.account_link
   JOIN district ON account.district_link
   WHERE loan.default_count > 0
   GROUP BY district.region
   ORDER BY defaulted_loan_accounts DESC
   LIMIT 1",,"SELECT district.A3 AS region, COUNT(loan.loan_id) AS default_count FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D' GROUP BY district.A3 ORDER BY default_count DESC LIMIT 1",1762,14038
FULL,CR23,0,False,,SQL evaluation timeout after 15.0s (query still running in background),"SELECT
     AVG(CASE WHEN loan.status IN ('B', 'D') THEN trans.avg_balance ELSE NULL END) -
     AVG(CASE WHEN loan.status NOT IN ('B', 'D') THEN trans.avg_balance ELSE NULL END) AS balance_trend
   FROM account
   JOIN loan ON loan.account_link
   JOIN trans ON trans.account_link
   GROUP BY account.account_id","SELECT
     AVG(CASE WHEN loan.status IN ('B', 'D') THEN AVG(trans.balance) ELSE NULL END) -
     AVG(CASE WHEN loan.status NOT IN ('B', 'D') THEN AVG(trans.balance) ELSE NULL END) AS balance_trend
   FROM account
   JOIN loan ON loan.account_id = account.account_id JOIN trans ON trans.account_id = account.account_id GROUP BY account.account_id","SELECT loan_group, AVG(balance_trend) AS avg_balance_trend FROM (SELECT CASE WHEN loan.status IN ('B','D') THEN 'defaulted' ELSE 'non_defaulted' END AS loan_group, (SELECT balance FROM trans WHERE account_id = loan.account_id ORDER BY date DESC LIMIT 1) - (SELECT balance FROM trans WHERE account_id = loan.account_id ORDER BY date ASC LIMIT 1) AS balance_trend FROM loan) GROUP BY loan_group",1909,14172
FULL,CR23,1,False,,SQL evaluation timeout after 15.0s (query still running in background),"SELECT
    AVG(CASE WHEN loan.status IN ('B', 'D') THEN trans.avg_balance END) -
    AVG(CASE WHEN loan.status NOT IN ('B', 'D') THEN trans.avg_balance END) AS balance_trend
FROM account
JOIN loan ON loan.account_link
JOIN trans ON trans.account_link
GROUP BY account.account_id
HAVING COUNT(trans.trans_id) > 1","SELECT
    AVG(CASE WHEN loan.status IN ('B', 'D') THEN AVG(trans.balance) END) -
    AVG(CASE WHEN loan.status NOT IN ('B', 'D') THEN AVG(trans.balance) END) AS balance_trend
FROM account
JOIN loan ON loan.account_id = account.account_id JOIN trans ON trans.account_id = account.account_id GROUP BY account.account_id
HAVING COUNT(trans.trans_id) > 1","SELECT loan_group, AVG(balance_trend) AS avg_balance_trend FROM (SELECT CASE WHEN loan.status IN ('B','D') THEN 'defaulted' ELSE 'non_defaulted' END AS loan_group, (SELECT balance FROM trans WHERE account_id = loan.account_id ORDER BY date DESC LIMIT 1) - (SELECT balance FROM trans WHERE account_id = loan.account_id ORDER BY date ASC LIMIT 1) AS balance_trend FROM loan) GROUP BY loan_group",8546,14172
FULL,CR23,2,False,"Invalid SQL: the join hint 'trans_last.account_link' does not correspond to any defined relationship between the cubes involved. Check that you're joining cubes that actually have a relationship defined (see 'Can be joined to' for each cube in the schema above), and that the join hint is written as JOIN <target_cube> ON <cube_already_in_your_query>.<target_cube>_link -- the cube name immediately before '_link' must be the cube you are newly joining TO (matching the name right after JOIN), not the cube already in scope.",,"SELECT 
     AVG(IFNULL(trans_last.avg_balance, 0) - IFNULL(trans_first.avg_balance, 0)) AS balance_trend,
     loan.status
FROM loan
JOIN account ON loan.account_link
JOIN trans AS trans_last ON trans_last.account_link = account.account_id
JOIN trans AS trans_first ON trans_first.account_link = account.account_id
WHERE loan.status IN ('B', 'D') OR loan.status NOT IN ('B', 'D')
GROUP BY loan.status
HAVING 
     trans_last.trans_date = (SELECT MAX(trans_date) FROM trans WHERE trans.account_link = account.account_id) AND
     trans_first.trans_date = (SELECT MIN(trans_date) FROM trans WHERE trans.account_link = account.account_id)",,"SELECT loan_group, AVG(balance_trend) AS avg_balance_trend FROM (SELECT CASE WHEN loan.status IN ('B','D') THEN 'defaulted' ELSE 'non_defaulted' END AS loan_group, (SELECT balance FROM trans WHERE account_id = loan.account_id ORDER BY date DESC LIMIT 1) - (SELECT balance FROM trans WHERE account_id = loan.account_id ORDER BY date ASC LIMIT 1) AS balance_trend FROM loan) GROUP BY loan_group",2871,14172
FULL,CR23,3,False,,SQL evaluation timeout after 15.0s (query still running in background),"SELECT
     AVG(CASE WHEN loan.default_rate > 0 THEN trans.avg_balance END) - AVG(CASE WHEN loan.default_rate = 0 THEN trans.avg_balance END) AS balance_trend
   FROM account
   JOIN loan ON loan.account_link
   JOIN trans ON trans.account_link
   WHERE loan.status IN ('B', 'D') OR loan.status IS NOT NULL
   GROUP BY loan.default_rate","SELECT
     AVG(CASE WHEN CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 0 THEN AVG(trans.balance) END) - AVG(CASE WHEN CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 = 0 THEN AVG(trans.balance) END) AS balance_trend
   FROM account
   JOIN loan ON loan.account_id = account.account_id JOIN trans ON trans.account_id = account.account_id WHERE loan.status IN ('B', 'D') OR loan.status IS NOT NULL
   GROUP BY CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100","SELECT loan_group, AVG(balance_trend) AS avg_balance_trend FROM (SELECT CASE WHEN loan.status IN ('B','D') THEN 'defaulted' ELSE 'non_defaulted' END AS loan_group, (SELECT balance FROM trans WHERE account_id = loan.account_id ORDER BY date DESC LIMIT 1) - (SELECT balance FROM trans WHERE account_id = loan.account_id ORDER BY date ASC LIMIT 1) AS balance_trend FROM loan) GROUP BY loan_group",2376,14172
FULL,CR23,4,False,,SQL evaluation timeout after 15.0s (query still running in background),"SELECT
    AVG(CASE WHEN loan.status IN ('B', 'D') THEN trans.avg_balance END) - 
    AVG(CASE WHEN loan.status IN ('B', 'D') THEN trans.avg_balance END) AS defaulted_balance_trend,
    AVG(CASE WHEN loan.status NOT IN ('B', 'D') THEN trans.avg_balance END) - 
    AVG(CASE WHEN loan.status NOT IN ('B', 'D') THEN trans.avg_balance END) AS non_defaulted_balance_trend
FROM account
JOIN loan ON loan.account_link
JOIN trans ON trans.account_link
GROUP BY loan.status
HAVING loan.status IN ('B', 'D') OR loan.status NOT IN ('B', 'D')","SELECT
    AVG(CASE WHEN loan.status IN ('B', 'D') THEN AVG(trans.balance) END) - 
    AVG(CASE WHEN loan.status IN ('B', 'D') THEN AVG(trans.balance) END) AS defaulted_balance_trend,
    AVG(CASE WHEN loan.status NOT IN ('B', 'D') THEN AVG(trans.balance) END) - 
    AVG(CASE WHEN loan.status NOT IN ('B', 'D') THEN AVG(trans.balance) END) AS non_defaulted_balance_trend
FROM account
JOIN loan ON loan.account_id = account.account_id JOIN trans ON trans.account_id = account.account_id GROUP BY loan.status
HAVING loan.status IN ('B', 'D') OR loan.status NOT IN ('B', 'D')","SELECT loan_group, AVG(balance_trend) AS avg_balance_trend FROM (SELECT CASE WHEN loan.status IN ('B','D') THEN 'defaulted' ELSE 'non_defaulted' END AS loan_group, (SELECT balance FROM trans WHERE account_id = loan.account_id ORDER BY date DESC LIMIT 1) - (SELECT balance FROM trans WHERE account_id = loan.account_id ORDER BY date ASC LIMIT 1) AS balance_trend FROM loan) GROUP BY loan_group",2939,14172
FULL,CR16,0,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT COUNT(DISTINCT account.account_id)
   FROM account
   JOIN trans ON trans.account_link
   WHERE trans.avg_balance < 0",,SELECT COUNT(DISTINCT account_id) FROM trans WHERE balance < 0,1294,14085
